"reviews_per_month","neighbourhood_group","room_type","price","minimum_nights","calculated_host_listings_count"
0.03,"Brooklyn","Entire home/apt",140,7,1
3.12,"Brooklyn","Entire home/apt",180,2,1
0.02,"Manhattan","Private room",90,3,3
1.26,"Bronx","Entire home/apt",120,3,1
1.43,"Queens","Entire home/apt",85,2,1
2.62,"Manhattan","Entire home/apt",174,3,3
0.04,"Manhattan","Entire home/apt",150,21,1
3.82,"Manhattan","Entire home/apt",295,1,1
1.35,"Queens","Entire home/apt",180,3,1
0.27,"Manhattan","Entire home/apt",172,1,1
0.53,"Brooklyn","Entire home/apt",130,5,1
0.28,"Manhattan","Private room",52,7,8
0.03,"Brooklyn","Entire home/apt",220,1,1
0.24,"Brooklyn","Private room",37,25,3
0.53,"Manhattan","Private room",85,2,1
1.13,"Brooklyn","Entire home/apt",249,3,1
0.21,"Brooklyn","Entire home/apt",150,14,1
0.25,"Brooklyn","Entire home/apt",119,6,1
2.67,"Manhattan","Private room",90,4,1
0.06,"Manhattan","Entire home/apt",200,4,1
2.64,"Brooklyn","Entire home/apt",97,3,1
0.19,"Brooklyn","Entire home/apt",399,30,1
0.58,"Brooklyn","Entire home/apt",151,5,2
0.6,"Manhattan","Entire home/apt",200,3,1
0.03,"Queens","Entire home/apt",82,5,1
1.42,"Manhattan","Entire home/apt",130,1,1
0.18,"Brooklyn","Private room",69,2,1
1.32,"Queens","Entire home/apt",150,1,1
3.3,"Manhattan","Entire home/apt",150,2,1
0.03,"Manhattan","Entire home/apt",100,3,1
0.45,"Manhattan","Entire home/apt",195,4,1
0.43,"Manhattan","Entire home/apt",251,5,1
0.02,"Brooklyn","Entire home/apt",200,1,1
0.07,"Brooklyn","Entire home/apt",100,6,1
0.24,"Bronx","Entire home/apt",140,30,1
0.5,"Manhattan","Entire home/apt",146,18,1
1.31,"Brooklyn","Entire home/apt",250,2,1
0.1,"Manhattan","Entire home/apt",499,1,1
3.49,"Brooklyn","Entire home/apt",80,3,2
1.27,"Manhattan","Entire home/apt",220,2,1
0.13,"Manhattan","Private room",102,2,4
0.12,"Manhattan","Entire home/apt",120,5,1
0.11,"Manhattan","Entire home/apt",170,2,1
0.03,"Manhattan","Entire home/apt",149,1,1
0.13,"Brooklyn","Entire home/apt",180,3,1
0.43,"Brooklyn","Private room",89,1,1
0.52,"Brooklyn","Entire home/apt",199,2,2
1.05,"Brooklyn","Private room",72,5,6
0.12,"Brooklyn","Entire home/apt",80,7,1
2.36,"Manhattan","Private room",99,3,1
0.38,"Brooklyn","Entire home/apt",125,30,1
2.49,"Manhattan","Private room",150,1,1
2.81,"Manhattan","Private room",106,2,1
0.3,"Manhattan","Entire home/apt",250,30,1
0.12,"Manhattan","Private room",150,2,1
0.24,"Brooklyn","Private room",100,3,1
0.87,"Manhattan","Entire home/apt",189,3,1
0.39,"Manhattan","Entire home/apt",1999,1,1
1.07,"Manhattan","Entire home/apt",120,1,1
0.05,"Brooklyn","Private room",100,4,2
0.11,"Brooklyn","Entire home/apt",149,30,52
0.87,"Manhattan","Entire home/apt",480,10,1
0.01,"Manhattan","Private room",100,1,1
1.25,"Brooklyn","Private room",33,5,5
3.17,"Manhattan","Entire home/apt",142,1,1
0.62,"Queens","Entire home/apt",135,3,1
2.45,"Brooklyn","Entire home/apt",135,3,1
0.28,"Brooklyn","Entire home/apt",80,5,1
0.59,"Manhattan","Private room",80,3,1
4.02,"Manhattan","Private room",87,2,3
0.19,"Manhattan","Entire home/apt",450,3,2
0.03,"Manhattan","Entire home/apt",275,2,1
0.64,"Brooklyn","Entire home/apt",150,2,1
0.16,"Brooklyn","Private room",50,5,1
2.63,"Brooklyn","Private room",79,3,1
1.38,"Brooklyn","Private room",60,1,15
0.77,"Queens","Private room",45,3,3
0.07,"Manhattan","Entire home/apt",120,2,1
0.01,"Manhattan","Entire home/apt",145,3,1
2,"Manhattan","Entire home/apt",175,3,1
0.11,"Manhattan","Entire home/apt",137,7,1
0.97,"Manhattan","Private room",86,4,1
0.33,"Manhattan","Entire home/apt",345,5,1
0.32,"Manhattan","Entire home/apt",250,5,1
0.03,"Brooklyn","Entire home/apt",105,4,1
0.41,"Brooklyn","Entire home/apt",130,2,1
2.39,"Manhattan","Private room",90,3,3
2.27,"Brooklyn","Entire home/apt",150,3,1
0.62,"Brooklyn","Entire home/apt",150,4,2
1.89,"Manhattan","Entire home/apt",225,3,3
0.08,"Brooklyn","Private room",80,30,2
0.04,"Brooklyn","Entire home/apt",150,1,1
0.19,"Manhattan","Private room",120,1,2
2.13,"Bronx","Private room",53,2,1
0.07,"Brooklyn","Entire home/apt",115,30,1
0.1,"Brooklyn","Shared room",175,1,1
0.08,"Manhattan","Entire home/apt",150,1,1
0.26,"Manhattan","Entire home/apt",162,2,1
0.13,"Manhattan","Private room",95,4,1
0.79,"Manhattan","Private room",55,2,2
3.27,"Manhattan","Entire home/apt",117,5,2
0.12,"Manhattan","Entire home/apt",175,2,1
0.95,"Queens","Entire home/apt",75,30,1
3.25,"Manhattan","Entire home/apt",189,5,2
0.18,"Manhattan","Entire home/apt",150,2,1
0.57,"Manhattan","Private room",45,2,2
3.7,"Brooklyn","Entire home/apt",190,2,1
0.13,"Brooklyn","Entire home/apt",130,5,1
0.49,"Brooklyn","Private room",79,1,2
1.07,"Brooklyn","Entire home/apt",150,5,1
1.49,"Brooklyn","Entire home/apt",100,2,1
1.81,"Manhattan","Entire home/apt",115,1,1
0.55,"Manhattan","Entire home/apt",300,2,2
0.42,"Manhattan","Private room",39,12,3
0.3,"Brooklyn","Entire home/apt",200,4,1
0.24,"Manhattan","Entire home/apt",250,3,1
0.06,"Manhattan","Entire home/apt",120,6,1
0.46,"Manhattan","Private room",105,1,2
0.05,"Queens","Entire home/apt",100,3,1
0.11,"Brooklyn","Private room",85,2,1
0.36,"Manhattan","Entire home/apt",320,30,1
0.56,"Queens","Entire home/apt",149,3,2
0.02,"Manhattan","Entire home/apt",400,3,1
0.41,"Queens","Private room",72,3,2
0.89,"Manhattan","Entire home/apt",115,7,1
1.37,"Queens","Entire home/apt",325,3,2
1.7,"Brooklyn","Private room",32,1,5
0.16,"Manhattan","Private room",100,3,1
0.2,"Manhattan","Entire home/apt",150,4,1
1.1,"Manhattan","Entire home/apt",95,4,1
1.71,"Manhattan","Entire home/apt",290,1,1
0.99,"Brooklyn","Private room",30,1,5
0.01,"Brooklyn","Entire home/apt",75,4,1
0.37,"Manhattan","Entire home/apt",140,5,1
0.03,"Queens","Entire home/apt",100,1,2
1.4,"Manhattan","Private room",80,24,1
0.03,"Brooklyn","Entire home/apt",125,3,1
0.17,"Brooklyn","Entire home/apt",250,4,1
0.5,"Brooklyn","Private room",50,2,1
0.55,"Manhattan","Entire home/apt",395,5,2
0.16,"Manhattan","Entire home/apt",100,2,1
1.39,"Brooklyn","Private room",79,1,3
3.13,"Brooklyn","Private room",52,2,1
1.09,"Manhattan","Private room",98,4,3
0.04,"Brooklyn","Entire home/apt",120,2,1
0.83,"Manhattan","Entire home/apt",345,1,1
0.04,"Queens","Private room",50,1,1
0.02,"Manhattan","Entire home/apt",350,2,1
2.98,"Brooklyn","Private room",57,2,1
0.06,"Brooklyn","Entire home/apt",120,2,1
0.9,"Manhattan","Entire home/apt",125,5,2
0.97,"Manhattan","Entire home/apt",145,3,1
0.19,"Brooklyn","Private room",89,90,1
3.37,"Brooklyn","Entire home/apt",164,1,2
3.2,"Brooklyn","Entire home/apt",210,1,2
0.02,"Manhattan","Private room",115,7,2
0.31,"Manhattan","Entire home/apt",110,45,1
0.12,"Manhattan","Entire home/apt",199,5,1
0.08,"Manhattan","Entire home/apt",272,5,1
0.12,"Manhattan","Private room",75,7,3
0.62,"Manhattan","Private room",69,13,1
0.01,"Manhattan","Private room",179,1,1
0.09,"Manhattan","Entire home/apt",106,7,1
3.42,"Brooklyn","Private room",60,2,2
0.04,"Manhattan","Entire home/apt",120,7,1
0.02,"Bronx","Entire home/apt",80,1,1
0.67,"Manhattan","Private room",75,30,26
0.21,"Brooklyn","Entire home/apt",88,2,1
0.31,"Manhattan","Private room",45,4,8
0.08,"Manhattan","Entire home/apt",75,3,1
0.06,"Manhattan","Private room",79,2,2
0.1,"Queens","Private room",55,15,1
0.55,"Brooklyn","Private room",45,1,1
2,"Brooklyn","Private room",80,3,3
0.05,"Brooklyn","Entire home/apt",110,3,1
2.85,"Manhattan","Entire home/apt",199,2,2
2.22,"Brooklyn","Private room",94,2,1
0.5,"Brooklyn","Entire home/apt",400,5,3
0.14,"Brooklyn","Private room",60,7,1
0.46,"Manhattan","Entire home/apt",175,2,1
0.06,"Manhattan","Private room",100,5,1
0.13,"Brooklyn","Entire home/apt",50,3,1
0.14,"Brooklyn","Entire home/apt",199,30,52
0.06,"Brooklyn","Private room",54,4,1
0.12,"Brooklyn","Entire home/apt",130,4,1
0.65,"Brooklyn","Entire home/apt",151,2,1
0.02,"Manhattan","Entire home/apt",80,1,1
0.07,"Manhattan","Entire home/apt",110,8,1
0.21,"Brooklyn","Entire home/apt",60,3,1
0.92,"Brooklyn","Entire home/apt",110,10,1
0.28,"Brooklyn","Private room",73,2,1
3.11,"Brooklyn","Entire home/apt",177,3,2
0.09,"Queens","Entire home/apt",90,14,1
0.04,"Manhattan","Entire home/apt",190,1,1
0.02,"Brooklyn","Entire home/apt",105,5,1
0.01,"Manhattan","Entire home/apt",150,14,1
0.85,"Bronx","Private room",65,4,2
0.03,"Brooklyn","Private room",35,1,1
0.01,"Brooklyn","Entire home/apt",700,3,1
0.2,"Brooklyn","Entire home/apt",185,2,1
0.86,"Manhattan","Entire home/apt",150,90,1
0.75,"Manhattan","Private room",128,1,1
1.37,"Manhattan","Entire home/apt",299,28,1
0.03,"Manhattan","Entire home/apt",169,3,1
3.38,"Manhattan","Private room",109,7,1
1.93,"Brooklyn","Entire home/apt",99,4,1
0.82,"Manhattan","Entire home/apt",239,4,1
0.25,"Brooklyn","Entire home/apt",100,30,1
0.8,"Brooklyn","Entire home/apt",124,4,1
0.96,"Brooklyn","Private room",69,1,3
0.55,"Brooklyn","Entire home/apt",225,2,1
0.04,"Manhattan","Entire home/apt",119,2,1
1.12,"Manhattan","Entire home/apt",220,7,1
0.1,"Brooklyn","Entire home/apt",150,4,2
0.32,"Brooklyn","Private room",51,3,4
0.13,"Manhattan","Entire home/apt",150,9,1
0.14,"Brooklyn","Private room",91,1,1
0.31,"Manhattan","Entire home/apt",139,90,19
1.01,"Brooklyn","Entire home/apt",100,4,1
4.64,"Queens","Private room",60,1,2
0.12,"Manhattan","Entire home/apt",255,2,1
0.4,"Queens","Entire home/apt",94,7,1
0.31,"Manhattan","Entire home/apt",179,2,1
1.56,"Manhattan","Entire home/apt",135,4,1
1.14,"Brooklyn","Private room",50,5,1
0.95,"Brooklyn","Entire home/apt",350,2,2
0.41,"Manhattan","Entire home/apt",150,30,1
0.1,"Manhattan","Entire home/apt",375,3,1
0.16,"Manhattan","Private room",150,3,1
0.38,"Brooklyn","Entire home/apt",170,2,1
0.05,"Brooklyn","Entire home/apt",275,3,1
0.03,"Brooklyn","Private room",30,3,1
0.28,"Brooklyn","Entire home/apt",150,1,1
0.07,"Manhattan","Entire home/apt",140,3,1
0.02,"Manhattan","Entire home/apt",200,30,1
0.89,"Queens","Entire home/apt",99,2,1
0.21,"Manhattan","Entire home/apt",195,3,1
0.32,"Manhattan","Private room",89,2,2
1.37,"Brooklyn","Private room",65,3,2
0.1,"Brooklyn","Entire home/apt",210,3,2
0.14,"Brooklyn","Entire home/apt",159,30,52
1.11,"Brooklyn","Private room",55,3,2
0.06,"Brooklyn","Entire home/apt",129,30,52
0.06,"Manhattan","Entire home/apt",300,3,1
0.32,"Brooklyn","Private room",79,1,2
0.27,"Manhattan","Entire home/apt",6000,14,1
0.69,"Queens","Entire home/apt",64,3,1
1.07,"Brooklyn","Private room",110,10,1
1.12,"Manhattan","Private room",55,14,1
0.21,"Brooklyn","Private room",55,5,1
0.25,"Manhattan","Shared room",85,2,1
0.26,"Brooklyn","Entire home/apt",130,29,1
0.06,"Brooklyn","Entire home/apt",50,10,1
3.05,"Manhattan","Entire home/apt",100,1,1
0.06,"Manhattan","Entire home/apt",145,2,1
1.68,"Brooklyn","Private room",100,5,1
0.06,"Manhattan","Entire home/apt",200,1,1
5.26,"Manhattan","Entire home/apt",80,1,1
0.06,"Manhattan","Entire home/apt",200,6,2
1.74,"Queens","Entire home/apt",120,3,2
3.29,"Manhattan","Private room",180,3,1
1.52,"Manhattan","Entire home/apt",379,2,1
1.55,"Brooklyn","Private room",33,1,5
0.07,"Brooklyn","Entire home/apt",199,30,52
0.06,"Brooklyn","Entire home/apt",149,30,52
0.59,"Manhattan","Entire home/apt",98,8,1
0.52,"Manhattan","Entire home/apt",250,4,2
0.06,"Brooklyn","Private room",60,1,1
0.73,"Brooklyn","Entire home/apt",149,2,1
1.93,"Brooklyn","Entire home/apt",85,3,1
0.36,"Manhattan","Entire home/apt",90,3,1
0.16,"Queens","Private room",47,5,3
0.25,"Manhattan","Entire home/apt",180,30,39
0.04,"Manhattan","Private room",110,3,1
2.02,"Brooklyn","Entire home/apt",170,2,1
0.42,"Manhattan","Entire home/apt",210,5,1
2.45,"Queens","Entire home/apt",65,2,1
0.29,"Manhattan","Entire home/apt",225,2,1
1.86,"Brooklyn","Entire home/apt",170,3,2
0.19,"Manhattan","Private room",62,2,2
0.13,"Manhattan","Entire home/apt",125,2,1
0.02,"Manhattan","Private room",106,1,1
2.23,"Manhattan","Private room",93,2,1
0.77,"Manhattan","Private room",85,5,1
0.21,"Manhattan","Entire home/apt",224,2,1
0.82,"Brooklyn","Private room",145,1,1
0.01,"Brooklyn","Private room",40,1,1
2.42,"Manhattan","Private room",135,2,3
2.69,"Manhattan","Private room",97,3,1
0.65,"Manhattan","Private room",69,60,2
3.55,"Brooklyn","Entire home/apt",225,4,1
0.04,"Manhattan","Entire home/apt",215,3,1
0.25,"Brooklyn","Private room",99,2,2
0.16,"Queens","Private room",60,1,2
0.46,"Manhattan","Entire home/apt",303,7,1
1.65,"Brooklyn","Entire home/apt",111,3,1
0.15,"Brooklyn","Private room",60,30,1
2.99,"Brooklyn","Entire home/apt",320,2,1
4.82,"Brooklyn","Entire home/apt",112,200,2
3.2,"Brooklyn","Entire home/apt",185,2,1
0.57,"Queens","Private room",100,29,1
0.02,"Brooklyn","Entire home/apt",150,1,1
1.73,"Manhattan","Private room",130,5,1
0.18,"Brooklyn","Entire home/apt",130,5,1
0.32,"Brooklyn","Entire home/apt",125,5,1
3.34,"Manhattan","Entire home/apt",190,4,1
0.63,"Brooklyn","Private room",70,3,1
0.14,"Manhattan","Entire home/apt",599,1,2
1.39,"Brooklyn","Private room",80,3,1
0.47,"Manhattan","Entire home/apt",100,6,1
0.05,"Manhattan","Entire home/apt",200,30,1
0.45,"Manhattan","Private room",60,2,1
0.36,"Brooklyn","Private room",100,2,1
1.29,"Manhattan","Private room",90,3,1
0.06,"Brooklyn","Private room",61,4,1
0.24,"Queens","Private room",100,7,1
0.41,"Manhattan","Entire home/apt",340,6,1
3.03,"Brooklyn","Private room",75,2,3
0.17,"Brooklyn","Entire home/apt",130,30,1
0.1,"Brooklyn","Entire home/apt",140,2,1
0.34,"Manhattan","Entire home/apt",112,3,1
0.4,"Manhattan","Entire home/apt",160,3,1
2.27,"Manhattan","Entire home/apt",165,3,2
0.12,"Manhattan","Private room",80,30,3
0.12,"Manhattan","Entire home/apt",160,4,1
2.55,"Brooklyn","Entire home/apt",150,2,1
1.22,"Manhattan","Private room",49,2,3
0.05,"Manhattan","Entire home/apt",675,5,1
0.15,"Manhattan","Entire home/apt",150,5,1
3.93,"Manhattan","Private room",79,1,1
0.8,"Manhattan","Entire home/apt",225,2,1
2.26,"Brooklyn","Private room",90,2,1
0.36,"Brooklyn","Entire home/apt",285,8,4
0.06,"Manhattan","Entire home/apt",300,2,1
0.16,"Brooklyn","Private room",55,2,2
1.26,"Manhattan","Entire home/apt",80,5,1
4.32,"Manhattan","Private room",90,1,1
0.05,"Manhattan","Entire home/apt",325,2,1
0.14,"Manhattan","Private room",55,7,1
0.6,"Manhattan","Private room",208,2,1
0.15,"Manhattan","Entire home/apt",156,1,3
0.22,"Brooklyn","Entire home/apt",85,4,1
0.06,"Brooklyn","Entire home/apt",200,2,1
0.03,"Manhattan","Entire home/apt",180,2,1
3.33,"Brooklyn","Entire home/apt",325,3,1
1.19,"Manhattan","Entire home/apt",160,6,1
1,"Manhattan","Private room",130,1,1
3.1,"Manhattan","Private room",110,1,1
3.25,"Manhattan","Entire home/apt",150,2,1
2.06,"Manhattan","Private room",149,2,2
0.27,"Manhattan","Entire home/apt",215,3,1
0.38,"Manhattan","Entire home/apt",155,1,1
0.07,"Brooklyn","Private room",50,3,1
0.05,"Manhattan","Private room",65,2,2
2.21,"Brooklyn","Entire home/apt",112,4,1
1.64,"Manhattan","Entire home/apt",250,3,1
0.19,"Brooklyn","Private room",65,4,2
2.39,"Manhattan","Entire home/apt",99,1,4
0.02,"Manhattan","Entire home/apt",395,3,1
0.31,"Manhattan","Entire home/apt",185,7,1
0.68,"Brooklyn","Private room",45,2,2
0.27,"Manhattan","Private room",55,2,2
1,"Manhattan","Entire home/apt",165,7,1
0.74,"Manhattan","Entire home/apt",285,2,1
0.32,"Manhattan","Entire home/apt",220,3,1
0.2,"Bronx","Private room",75,2,1
0.27,"Brooklyn","Entire home/apt",120,5,1
0.15,"Brooklyn","Entire home/apt",100,3,1
0.11,"Manhattan","Private room",95,1,1
2.21,"Manhattan","Private room",119,2,2
0.45,"Manhattan","Entire home/apt",200,1,1
2.21,"Brooklyn","Shared room",48,1,1
1.88,"Manhattan","Shared room",30,30,1
0.03,"Queens","Entire home/apt",65,4,1
0.29,"Queens","Private room",79,15,2
0.46,"Manhattan","Entire home/apt",105,7,1
0.04,"Manhattan","Entire home/apt",420,2,1
0.05,"Brooklyn","Entire home/apt",95,5,1
0.39,"Brooklyn","Entire home/apt",290,2,1
0.03,"Manhattan","Entire home/apt",180,2,1
0.18,"Manhattan","Entire home/apt",380,3,1
0.43,"Brooklyn","Entire home/apt",45,2,2
0.05,"Manhattan","Entire home/apt",300,1,1
0.06,"Manhattan","Entire home/apt",110,1,1
4.29,"Brooklyn","Entire home/apt",105,2,1
0.64,"Brooklyn","Private room",45,5,2
1.66,"Brooklyn","Entire home/apt",80,13,1
0.15,"Manhattan","Private room",89,3,1
0.02,"Manhattan","Private room",129,5,1
0.06,"Manhattan","Entire home/apt",250,30,1
0.03,"Manhattan","Entire home/apt",250,1,1
0.08,"Manhattan","Entire home/apt",175,2,1
0.16,"Brooklyn","Private room",40,3,1
0.02,"Brooklyn","Private room",85,14,1
0.33,"Brooklyn","Entire home/apt",219,4,2
0.39,"Manhattan","Entire home/apt",130,30,1
0.09,"Brooklyn","Entire home/apt",149,30,52
0.12,"Manhattan","Entire home/apt",100,1,1
0.96,"Manhattan","Entire home/apt",289,3,2
0.36,"Manhattan","Private room",67,1,4
4.91,"Manhattan","Entire home/apt",221,2,1
0.05,"Brooklyn","Private room",75,4,1
0.34,"Manhattan","Entire home/apt",112,30,6
0.29,"Manhattan","Entire home/apt",175,1,1
0.24,"Brooklyn","Entire home/apt",1485,2,1
0.19,"Queens","Entire home/apt",120,2,1
0.02,"Manhattan","Entire home/apt",150,26,1
0.02,"Manhattan","Entire home/apt",369,2,1
2.23,"Manhattan","Private room",81,1,2
2.67,"Brooklyn","Private room",89,3,1
0.06,"Brooklyn","Entire home/apt",199,30,52
3.25,"Brooklyn","Private room",45,2,1
0.03,"Brooklyn","Entire home/apt",149,30,52
0.22,"Queens","Private room",65,2,1
0.73,"Manhattan","Entire home/apt",150,2,1
0.16,"Manhattan","Entire home/apt",199,3,1
0.19,"Manhattan","Entire home/apt",395,5,1
0.43,"Brooklyn","Entire home/apt",130,30,1
0.07,"Manhattan","Private room",175,3,1
2.92,"Manhattan","Private room",90,1,1
0.14,"Manhattan","Entire home/apt",350,1,1
0.06,"Brooklyn","Entire home/apt",250,2,1
0.58,"Manhattan","Private room",250,3,2
1.83,"Brooklyn","Entire home/apt",180,2,1
0.04,"Brooklyn","Private room",49,4,1
2.82,"Brooklyn","Private room",91,4,1
0.26,"Manhattan","Private room",100,5,1
0.14,"Manhattan","Entire home/apt",152,1,1
3.5,"Manhattan","Private room",110,1,1
0.06,"Manhattan","Entire home/apt",135,2,1
0.33,"Manhattan","Entire home/apt",75,2,1
0.04,"Bronx","Entire home/apt",250,7,1
0.16,"Manhattan","Entire home/apt",200,1,1
0.08,"Brooklyn","Private room",75,3,2
0.77,"Queens","Entire home/apt",88,3,5
0.02,"Manhattan","Entire home/apt",975,2,1
0.12,"Brooklyn","Entire home/apt",305,10,1
3.45,"Manhattan","Entire home/apt",220,2,1
0.26,"Manhattan","Entire home/apt",150,1,1
0.07,"Brooklyn","Private room",49,4,2
2.41,"Brooklyn","Entire home/apt",140,1,1
0.79,"Queens","Entire home/apt",86,1,1
0.47,"Manhattan","Entire home/apt",650,2,1
0.09,"Manhattan","Entire home/apt",225,2,1
0.06,"Manhattan","Private room",75,1,1
0.75,"Manhattan","Entire home/apt",150,1,1
0.56,"Manhattan","Private room",199,3,1
3.1,"Brooklyn","Entire home/apt",95,4,2
1.73,"Brooklyn","Entire home/apt",200,2,1
0.73,"Manhattan","Entire home/apt",200,3,1
0.5,"Brooklyn","Entire home/apt",175,7,1
0.08,"Brooklyn","Entire home/apt",129,30,52
0.22,"Brooklyn","Entire home/apt",200,3,1
0.18,"Manhattan","Private room",60,3,3
3.69,"Manhattan","Private room",115,3,1
1.22,"Manhattan","Private room",135,2,1
1.61,"Queens","Private room",59,3,1
4.31,"Brooklyn","Entire home/apt",196,2,1
0.8,"Brooklyn","Private room",128,3,1
0.18,"Manhattan","Entire home/apt",200,30,1
0.22,"Manhattan","Entire home/apt",180,5,1
0.28,"Brooklyn","Private room",60,30,2
0.03,"Brooklyn","Private room",70,90,1
1.29,"Manhattan","Private room",40,2,1
0.11,"Brooklyn","Entire home/apt",250,5,1
0.39,"Brooklyn","Entire home/apt",80,2,1
1.38,"Manhattan","Entire home/apt",85,3,1
3.03,"Manhattan","Private room",70,1,1
0.08,"Brooklyn","Private room",55,5,1
0.14,"Brooklyn","Private room",100,2,1
0.3,"Brooklyn","Private room",73,10,1
2.82,"Queens","Private room",65,2,1
1.2,"Brooklyn","Entire home/apt",162,1,2
0.14,"Queens","Entire home/apt",275,30,1
0.55,"Manhattan","Entire home/apt",200,2,1
2.72,"Manhattan","Entire home/apt",250,5,1
0.19,"Brooklyn","Entire home/apt",500,1,1
0.22,"Brooklyn","Entire home/apt",120,30,1
0.36,"Brooklyn","Private room",55,3,1
2.15,"Brooklyn","Private room",59,1,4
0.02,"Brooklyn","Entire home/apt",99,1,1
1.3,"Manhattan","Entire home/apt",155,1,1
0.08,"Manhattan","Entire home/apt",200,3,2
0.35,"Manhattan","Private room",60,4,1
1.66,"Queens","Entire home/apt",85,3,1
0.48,"Manhattan","Private room",150,3,2
0.42,"Queens","Private room",45,2,1
2.51,"Manhattan","Entire home/apt",200,2,2
2.97,"Brooklyn","Entire home/apt",120,2,2
2.13,"Manhattan","Entire home/apt",195,4,2
0.44,"Brooklyn","Entire home/apt",76,30,1
1.17,"Brooklyn","Entire home/apt",500,3,1
2.33,"Brooklyn","Entire home/apt",179,3,1
0.5,"Brooklyn","Private room",200,1,3
0.16,"Bronx","Shared room",32,2,1
0.25,"Brooklyn","Private room",50,3,2
0.08,"Manhattan","Private room",40,1,2
0.65,"Brooklyn","Private room",62,21,3
0.28,"Brooklyn","Private room",239,1,11
0.37,"Brooklyn","Entire home/apt",179,5,1
0.35,"Brooklyn","Entire home/apt",250,5,1
0.13,"Manhattan","Entire home/apt",400,5,1
2.85,"Manhattan","Private room",98,2,1
1.55,"Brooklyn","Private room",89,1,1
0.27,"Manhattan","Entire home/apt",185,2,1
0.34,"Manhattan","Private room",125,3,1
0.02,"Brooklyn","Entire home/apt",180,2,1
0.52,"Brooklyn","Shared room",30,5,2
0.54,"Brooklyn","Private room",60,1,1
2.3,"Manhattan","Private room",115,2,1
0.21,"Brooklyn","Entire home/apt",200,2,2
0.27,"Manhattan","Entire home/apt",179,30,2
0.19,"Brooklyn","Entire home/apt",109,1,1
4.1,"Manhattan","Private room",124,5,2
1.1,"Manhattan","Entire home/apt",159,2,1
0.14,"Brooklyn","Entire home/apt",85,10,1
1.64,"Brooklyn","Private room",109,2,1
0.02,"Manhattan","Entire home/apt",110,10,1
0.04,"Manhattan","Private room",65,2,1
1.44,"Manhattan","Private room",112,2,1
1.22,"Brooklyn","Shared room",25,5,3
0.71,"Brooklyn","Entire home/apt",79,3,2
0.03,"Brooklyn","Entire home/apt",200,3,1
0.34,"Brooklyn","Private room",55,4,4
0.51,"Bronx","Private room",50,2,2
0.16,"Brooklyn","Entire home/apt",129,30,52
0.73,"Manhattan","Entire home/apt",195,30,2
0.13,"Brooklyn","Entire home/apt",79,2,1
1.71,"Manhattan","Private room",65,3,1
0.13,"Manhattan","Entire home/apt",123,2,1
0.15,"Brooklyn","Private room",70,5,1
0.58,"Queens","Private room",100,2,2
2.41,"Brooklyn","Private room",69,1,4
0.16,"Manhattan","Entire home/apt",450,1,1
0.13,"Manhattan","Entire home/apt",125,3,1
0.55,"Brooklyn","Private room",75,1,2
0.11,"Brooklyn","Entire home/apt",154,1,2
0.19,"Manhattan","Entire home/apt",60,14,1
1.22,"Manhattan","Entire home/apt",279,1,1
0.05,"Manhattan","Private room",80,3,2
2.86,"Manhattan","Private room",84,1,2
1,"Brooklyn","Entire home/apt",180,6,1
0.11,"Brooklyn","Entire home/apt",100,5,1
0.31,"Brooklyn","Private room",86,2,2
0.39,"Brooklyn","Entire home/apt",189,7,1
0.1,"Manhattan","Entire home/apt",130,365,1
1.48,"Manhattan","Entire home/apt",150,1,2
0.07,"Brooklyn","Entire home/apt",149,30,52
0.02,"Brooklyn","Entire home/apt",100,2,1
0.45,"Brooklyn","Private room",145,2,1
2.82,"Manhattan","Entire home/apt",133,14,2
2.93,"Queens","Private room",75,7,1
0.25,"Brooklyn","Private room",100,2,1
1.46,"Manhattan","Shared room",99,1,1
0.14,"Brooklyn","Entire home/apt",132,3,1
0.44,"Manhattan","Private room",72,2,1
0.22,"Queens","Entire home/apt",125,1,1
0.41,"Brooklyn","Entire home/apt",102,7,1
0.05,"Brooklyn","Entire home/apt",129,30,52
0.55,"Brooklyn","Entire home/apt",107,30,1
0.05,"Manhattan","Entire home/apt",250,1,1
0.25,"Queens","Private room",90,3,2
0.03,"Brooklyn","Private room",90,1,1
0.33,"Manhattan","Private room",200,5,1
0.15,"Brooklyn","Entire home/apt",160,7,1
3.02,"Manhattan","Private room",124,5,2
2.72,"Brooklyn","Private room",95,4,1
0.04,"Brooklyn","Entire home/apt",129,30,52
1.04,"Brooklyn","Private room",110,4,1
2.71,"Manhattan","Private room",92,2,1
2.46,"Manhattan","Entire home/apt",175,3,3
2.45,"Brooklyn","Entire home/apt",134,2,1
0.28,"Manhattan","Entire home/apt",400,1,2
0.1,"Manhattan","Entire home/apt",152,270,1
0.24,"Manhattan","Private room",169,8,1
2.43,"Brooklyn","Private room",95,2,2
2.22,"Brooklyn","Private room",90,2,2
1.34,"Manhattan","Private room",60,1,1
0.85,"Manhattan","Entire home/apt",180,6,1
2.38,"Manhattan","Private room",84,3,1
0.5,"Brooklyn","Entire home/apt",98,4,1
0.33,"Brooklyn","Entire home/apt",90,7,1
0.09,"Brooklyn","Entire home/apt",134,6,1
1.09,"Manhattan","Private room",119,2,1
0.33,"Manhattan","Entire home/apt",141,1,1
0.05,"Manhattan","Entire home/apt",199,4,1
